frozenset({'0'})	{('0',): [342, 1]}
frozenset({'18', '2'})	{('18',): [285, 1], ('2',): [20, 2], ('18', '2'): [8, 3]}
frozenset({'17', '2'})	{('17',): [540, 1], ('2',): [20, 2], ('17', '2'): [6, 3]}
frozenset({'16', '2'})	{('16',): [136, 1], ('2',): [20, 2], ('16', '2'): [2, 3]}
frozenset({'15', '2'})	{('15',): [173, 1], ('2',): [20, 2], ('15', '2'): [3, 3]}
frozenset({'14', '2'})	{('14',): [538, 1], ('2',): [20, 2], ('14', '2'): [11, 3]}
frozenset({'13', '2'})	{('13',): [255, 1], ('2',): [20, 2], ('13', '2'): [7, 3]}
frozenset({'12', '2'})	{('12',): [277, 1], ('2',): [20, 2], ('12', '2'): [8, 3]}
frozenset({'11', '2'})	{('11',): [581, 1], ('2',): [20, 2], ('11', '2'): [13, 3]}
frozenset({'10', '2'})	{('10',): [319, 1], ('2',): [20, 2], ('10', '2'): [5, 3]}
frozenset({'1', '2'})	{('1',): [66, 1], ('2',): [20, 2], ('1', '2'): [1, 3]}
frozenset({'0', '2'})	{('0',): [342, 1], ('2',): [20, 2], ('0', '2'): [9, 3]}
frozenset({'19', '18'})	{('19',): [286, 1], ('18',): [285, 2], ('19', '18'): [97, 3]}
frozenset({'19', '17'})	{('19',): [286, 1], ('17',): [540, 2], ('19', '17'): [167, 3]}
frozenset({'19', '16'})	{('19',): [286, 1], ('16',): [136, 2], ('19', '16'): [52, 3]}
frozenset({'19', '15'})	{('19',): [286, 1], ('15',): [173, 2], ('19', '15'): [57, 3]}
frozenset({'19', '14'})	{('19',): [286, 1], ('14',): [538, 2], ('19', '14'): [165, 3]}
frozenset({'19', '13'})	{('19',): [286, 1], ('13',): [255, 2], ('19', '13'): [84, 3]}
frozenset({'19', '12'})	{('19',): [286, 1], ('12',): [277, 2], ('19', '12'): [75, 3]}
frozenset({'19', '11'})	{('19',): [286, 1], ('11',): [581, 2], ('19', '11'): [173, 3]}
frozenset({'19', '10'})	{('19',): [286, 1], ('10',): [319, 2], ('19', '10'): [109, 3]}
frozenset({'19', '1'})	{('19',): [286, 1], ('1',): [66, 2], ('19', '1'): [21, 3]}
frozenset({'19', '0'})	{('19',): [286, 1], ('0',): [342, 2], ('19', '0'): [113, 3]}
frozenset({'17', '18'})	{('17',): [540, 1], ('18',): [285, 2], ('17', '18'): [166, 3]}
frozenset({'16', '18'})	{('16',): [136, 1], ('18',): [285, 2], ('16', '18'): [42, 3]}
frozenset({'18', '15'})	{('18',): [285, 1], ('15',): [173, 2], ('18', '15'): [51, 3]}
frozenset({'14', '18'})	{('14',): [538, 1], ('18',): [285, 2], ('14', '18'): [168, 3]}
frozenset({'18', '13'})	{('18',): [285, 1], ('13',): [255, 2], ('18', '13'): [87, 3]}
frozenset({'12', '18'})	{('12',): [277, 1], ('18',): [285, 2], ('12', '18'): [85, 3]}
frozenset({'18', '11'})	{('18',): [285, 1], ('11',): [581, 2], ('18', '11'): [181, 3]}
frozenset({'10', '18'})	{('10',): [319, 1], ('18',): [285, 2], ('10', '18'): [110, 3]}
frozenset({'1', '18'})	{('1',): [66, 1], ('18',): [285, 2], ('1', '18'): [23, 3]}
frozenset({'0', '18'})	{('0',): [342, 1], ('18',): [285, 2], ('0', '18'): [105, 3]}
frozenset({'17', '16'})	{('17',): [540, 1], ('16',): [136, 2], ('17', '16'): [88, 3]}
frozenset({'17', '15'})	{('17',): [540, 1], ('15',): [173, 2], ('17', '15'): [102, 3]}
frozenset({'14', '17'})	{('14',): [538, 1], ('17',): [540, 2], ('14', '17'): [317, 3]}
frozenset({'17', '13'})	{('17',): [540, 1], ('13',): [255, 2], ('17', '13'): [156, 3]}
frozenset({'12', '17'})	{('12',): [277, 1], ('17',): [540, 2], ('12', '17'): [169, 3]}
frozenset({'17', '11'})	{('17',): [540, 1], ('11',): [581, 2], ('17', '11'): [330, 3]}
frozenset({'10', '17'})	{('10',): [319, 1], ('17',): [540, 2], ('10', '17'): [181, 3]}
frozenset({'1', '17'})	{('1',): [66, 1], ('17',): [540, 2], ('1', '17'): [40, 3]}
frozenset({'0', '17'})	{('0',): [342, 1], ('17',): [540, 2], ('0', '17'): [215, 3]}
frozenset({'16', '15'})	{('16',): [136, 1], ('15',): [173, 2], ('16', '15'): [30, 3]}
frozenset({'14', '16'})	{('14',): [538, 1], ('16',): [136, 2], ('14', '16'): [80, 3]}
frozenset({'16', '13'})	{('16',): [136, 1], ('13',): [255, 2], ('16', '13'): [41, 3]}
frozenset({'12', '16'})	{('12',): [277, 1], ('16',): [136, 2], ('12', '16'): [48, 3]}
frozenset({'16', '11'})	{('16',): [136, 1], ('11',): [581, 2], ('16', '11'): [95, 3]}
frozenset({'10', '16'})	{('10',): [319, 1], ('16',): [136, 2], ('10', '16'): [44, 3]}
frozenset({'1', '16'})	{('1',): [66, 1], ('16',): [136, 2], ('1', '16'): [8, 3]}
frozenset({'0', '16'})	{('0',): [342, 1], ('16',): [136, 2], ('0', '16'): [54, 3]}
frozenset({'14', '15'})	{('14',): [538, 1], ('15',): [173, 2], ('14', '15'): [104, 3]}
frozenset({'13', '15'})	{('13',): [255, 1], ('15',): [173, 2], ('13', '15'): [50, 3]}
frozenset({'12', '15'})	{('12',): [277, 1], ('15',): [173, 2], ('12', '15'): [53, 3]}
frozenset({'11', '15'})	{('11',): [581, 1], ('15',): [173, 2], ('11', '15'): [109, 3]}
frozenset({'10', '15'})	{('10',): [319, 1], ('15',): [173, 2], ('10', '15'): [62, 3]}
frozenset({'1', '15'})	{('1',): [66, 1], ('15',): [173, 2], ('1', '15'): [10, 3]}
frozenset({'0', '15'})	{('0',): [342, 1], ('15',): [173, 2], ('0', '15'): [66, 3]}
frozenset({'14', '13'})	{('14',): [538, 1], ('13',): [255, 2], ('14', '13'): [141, 3]}
frozenset({'14', '12'})	{('14',): [538, 1], ('12',): [277, 2], ('14', '12'): [165, 3]}
frozenset({'14', '11'})	{('14',): [538, 1], ('11',): [581, 2], ('14', '11'): [318, 3]}
frozenset({'10', '14'})	{('10',): [319, 1], ('14',): [538, 2], ('10', '14'): [178, 3]}
frozenset({'14', '1'})	{('14',): [538, 1], ('1',): [66, 2], ('14', '1'): [40, 3]}
frozenset({'0', '14'})	{('0',): [342, 1], ('14',): [538, 2], ('0', '14'): [196, 3]}
frozenset({'12', '13'})	{('12',): [277, 1], ('13',): [255, 2], ('12', '13'): [78, 3]}
frozenset({'11', '13'})	{('11',): [581, 1], ('13',): [255, 2], ('11', '13'): [152, 3]}
frozenset({'10', '13'})	{('10',): [319, 1], ('13',): [255, 2], ('10', '13'): [78, 3]}
frozenset({'1', '13'})	{('1',): [66, 1], ('13',): [255, 2], ('1', '13'): [15, 3]}
frozenset({'0', '13'})	{('0',): [342, 1], ('13',): [255, 2], ('0', '13'): [96, 3]}
frozenset({'12', '11'})	{('12',): [277, 1], ('11',): [581, 2], ('12', '11'): [176, 3]}
frozenset({'10', '12'})	{('10',): [319, 1], ('12',): [277, 2], ('10', '12'): [103, 3]}
frozenset({'12', '1'})	{('12',): [277, 1], ('1',): [66, 2], ('12', '1'): [25, 3]}
frozenset({'0', '12'})	{('0',): [342, 1], ('12',): [277, 2], ('0', '12'): [104, 3]}
frozenset({'10', '11'})	{('10',): [319, 1], ('11',): [581, 2], ('10', '11'): [193, 3]}
frozenset({'1', '11'})	{('1',): [66, 1], ('11',): [581, 2], ('1', '11'): [44, 3]}
frozenset({'0', '11'})	{('0',): [342, 1], ('11',): [581, 2], ('0', '11'): [216, 3]}
frozenset({'10', '1'})	{('10',): [319, 1], ('1',): [66, 2], ('10', '1'): [22, 3]}
frozenset({'10', '0'})	{('10',): [319, 1], ('0',): [342, 2], ('10', '0'): [112, 3]}
frozenset({'0', '1'})	{('0',): [342, 1], ('1',): [66, 2], ('0', '1'): [28, 3]}
frozenset({'0', '1', '12'})	{('0',): [342, 1], ('1',): [66, 2], ('12',): [277, 4], ('0', '1'): [28, 3], ('0', '12'): [104, 5], ('1', '12'): [25, 6], ('0', '1', '12'): [12, 7]}
frozenset({'0', '1', '13'})	{('0',): [342, 1], ('1',): [66, 2], ('13',): [255, 4], ('0', '1'): [28, 3], ('0', '13'): [96, 5], ('1', '13'): [15, 6], ('0', '1', '13'): [9, 7]}
frozenset({'0', '1', '15'})	{('0',): [342, 1], ('1',): [66, 2], ('15',): [173, 4], ('0', '1'): [28, 3], ('0', '15'): [66, 5], ('1', '15'): [10, 6], ('0', '1', '15'): [4, 7]}
frozenset({'0', '1', '16'})	{('0',): [342, 1], ('1',): [66, 2], ('16',): [136, 4], ('0', '1'): [28, 3], ('0', '16'): [54, 5], ('1', '16'): [8, 6], ('0', '1', '16'): [5, 7]}
frozenset({'0', '1', '18'})	{('0',): [342, 1], ('1',): [66, 2], ('18',): [285, 4], ('0', '1'): [28, 3], ('0', '18'): [105, 5], ('1', '18'): [23, 6], ('0', '1', '18'): [12, 7]}
frozenset({'0', '1', '2'})	{('0',): [342, 1], ('1',): [66, 2], ('2',): [20, 4], ('0', '1'): [28, 3], ('0', '2'): [9, 5], ('1', '2'): [1, 6], ('0', '1', '2'): [1, 7]}
frozenset({'0', '1', '4'})	{('0',): [342, 1], ('1',): [66, 2], ('4',): [290, 4], ('0', '1'): [28, 3], ('0', '4'): [113, 5], ('1', '4'): [17, 6], ('0', '1', '4'): [7, 7]}
frozenset({'0', '1', '5'})	{('0',): [342, 1], ('1',): [66, 2], ('5',): [354, 4], ('0', '1'): [28, 3], ('0', '5'): [137, 5], ('1', '5'): [22, 6], ('0', '1', '5'): [11, 7]}
frozenset({'0', '1', '6'})	{('0',): [342, 1], ('1',): [66, 2], ('6',): [272, 4], ('0', '1'): [28, 3], ('0', '6'): [92, 5], ('1', '6'): [9, 6], ('0', '1', '6'): [6, 7]}
frozenset({'0', '1', '7'})	{('0',): [342, 1], ('1',): [66, 2], ('7',): [350, 4], ('0', '1'): [28, 3], ('0', '7'): [127, 5], ('1', '7'): [29, 6], ('0', '1', '7'): [16, 7]}
frozenset({'10', '1', '0'})	{('10',): [319, 1], ('1',): [66, 2], ('0',): [342, 4], ('10', '1'): [22, 3], ('10', '0'): [112, 5], ('1', '0'): [28, 6], ('10', '1', '0'): [13, 7]}
frozenset({'10', '12', '0'})	{('10',): [319, 1], ('12',): [277, 2], ('0',): [342, 4], ('10', '12'): [103, 3], ('10', '0'): [112, 5], ('12', '0'): [104, 6], ('10', '12', '0'): [39, 7]}
frozenset({'10', '0', '13'})	{('10',): [319, 1], ('0',): [342, 2], ('13',): [255, 4], ('10', '0'): [112, 3], ('10', '13'): [78, 5], ('0', '13'): [96, 6], ('10', '0', '13'): [29, 7]}
frozenset({'10', '0', '15'})	{('10',): [319, 1], ('0',): [342, 2], ('15',): [173, 4], ('10', '0'): [112, 3], ('10', '15'): [62, 5], ('0', '15'): [66, 6], ('10', '0', '15'): [22, 7]}
frozenset({'10', '16', '0'})	{('10',): [319, 1], ('16',): [136, 2], ('0',): [342, 4], ('10', '16'): [44, 3], ('10', '0'): [112, 5], ('16', '0'): [54, 6], ('10', '16', '0'): [14, 7]}
frozenset({'10', '18', '0'})	{('10',): [319, 1], ('18',): [285, 2], ('0',): [342, 4], ('10', '18'): [110, 3], ('10', '0'): [112, 5], ('18', '0'): [105, 6], ('10', '18', '0'): [38, 7]}
frozenset({'10', '0', '2'})	{('10',): [319, 1], ('0',): [342, 2], ('2',): [20, 4], ('10', '0'): [112, 3], ('10', '2'): [5, 5], ('0', '2'): [9, 6], ('10', '0', '2'): [3, 7]}
frozenset({'10', '4', '0'})	{('10',): [319, 1], ('4',): [290, 2], ('0',): [342, 4], ('10', '4'): [96, 3], ('10', '0'): [112, 5], ('4', '0'): [113, 6], ('10', '4', '0'): [35, 7]}
frozenset({'10', '0', '5'})	{('10',): [319, 1], ('0',): [342, 2], ('5',): [354, 4], ('10', '0'): [112, 3], ('10', '5'): [120, 5], ('0', '5'): [137, 6], ('10', '0', '5'): [46, 7]}
frozenset({'10', '0', '6'})	{('10',): [319, 1], ('0',): [342, 2], ('6',): [272, 4], ('10', '0'): [112, 3], ('10', '6'): [98, 5], ('0', '6'): [92, 6], ('10', '0', '6'): [34, 7]}
frozenset({'10', '7', '0'})	{('10',): [319, 1], ('7',): [350, 2], ('0',): [342, 4], ('10', '7'): [120, 3], ('10', '0'): [112, 5], ('7', '0'): [127, 6], ('10', '7', '0'): [47, 7]}
frozenset({'10', '1', '12'})	{('10',): [319, 1], ('1',): [66, 2], ('12',): [277, 4], ('10', '1'): [22, 3], ('10', '12'): [103, 5], ('1', '12'): [25, 6], ('10', '1', '12'): [12, 7]}
frozenset({'10', '1', '13'})	{('10',): [319, 1], ('1',): [66, 2], ('13',): [255, 4], ('10', '1'): [22, 3], ('10', '13'): [78, 5], ('1', '13'): [15, 6], ('10', '1', '13'): [4, 7]}
frozenset({'10', '1', '15'})	{('10',): [319, 1], ('1',): [66, 2], ('15',): [173, 4], ('10', '1'): [22, 3], ('10', '15'): [62, 5], ('1', '15'): [10, 6], ('10', '1', '15'): [4, 7]}
frozenset({'10', '1', '16'})	{('10',): [319, 1], ('1',): [66, 2], ('16',): [136, 4], ('10', '1'): [22, 3], ('10', '16'): [44, 5], ('1', '16'): [8, 6], ('10', '1', '16'): [2, 7]}
frozenset({'10', '1', '18'})	{('10',): [319, 1], ('1',): [66, 2], ('18',): [285, 4], ('10', '1'): [22, 3], ('10', '18'): [110, 5], ('1', '18'): [23, 6], ('10', '1', '18'): [7, 7]}
frozenset({'10', '1', '2'})	{('10',): [319, 1], ('1',): [66, 2], ('2',): [20, 4], ('10', '1'): [22, 3], ('10', '2'): [5, 5], ('1', '2'): [1, 6], ('10', '1', '2'): [0, 7]}
frozenset({'10', '1', '4'})	{('10',): [319, 1], ('1',): [66, 2], ('4',): [290, 4], ('10', '1'): [22, 3], ('10', '4'): [96, 5], ('1', '4'): [17, 6], ('10', '1', '4'): [4, 7]}
